index	name	color
0	Unknown	#000000
1	Left-Cerebellum-Cortex	#e69422
2	Left-Thalamus-Proper	#00760e
3	Left-Caudate	#7abadc
4	Left-Putamen	#ec0db0
5	Left-Pallidum	#0c30ff
6	Left-Hippocampus	#dcd814
7	Left-Amygdala	#67ffff
8	Left-Accumbens-area	#ffa500
9	Left-VentralDC	#a52a2a
10	Right-Cerebellum-Cortex	#e69422
11	Right-Thalamus-Proper	#00760e
12	Right-Caudate	#7abadc
13	Right-Putamen	#ec0db0
14	Right-Pallidum	#0d30ff
15	Right-Hippocampus	#dcd814
16	Right-Amygdala	#67ffff
17	Right-Accumbens-area	#ffa500
18	Right-VentralDC	#a52a2a
19	ctx-lh-bankssts	#196428
20	ctx-lh-caudalanteriorcingulate	#7d64a0
21	ctx-lh-caudalmiddlefrontal	#641900
22	ctx-lh-cuneus	#dc1464
23	ctx-lh-entorhinal	#dc140a
24	ctx-lh-fusiform	#b4dc8c
25	ctx-lh-inferiorparietal	#dc3cdc
26	ctx-lh-inferiortemporal	#b42878
27	ctx-lh-isthmuscingulate	#8c148c
28	ctx-lh-lateraloccipital	#141e8c
29	ctx-lh-lateralorbitofrontal	#234b32
30	ctx-lh-lingual	#e18c8c
31	ctx-lh-medialorbitofrontal	#c8234b
32	ctx-lh-middletemporal	#a06432
33	ctx-lh-parahippocampal	#14dc3c
34	ctx-lh-paracentral	#3cdc3c
35	ctx-lh-parsopercularis	#dcb48c
36	ctx-lh-parsorbitalis	#146432
37	ctx-lh-parstriangularis	#dc3c14
38	ctx-lh-pericalcarine	#78643c
39	ctx-lh-postcentral	#dc1414
40	ctx-lh-posteriorcingulate	#dcb4dc
41	ctx-lh-precentral	#3c14dc
42	ctx-lh-precuneus	#a08cb4
43	ctx-lh-rostralanteriorcingulate	#50148c
44	ctx-lh-rostralmiddlefrontal	#4b327d
45	ctx-lh-superiorfrontal	#14dca0
46	ctx-lh-superiorparietal	#14b48c
47	ctx-lh-superiortemporal	#8cdcdc
48	ctx-lh-supramarginal	#50a014
49	ctx-lh-frontalpole	#640064
50	ctx-lh-temporalpole	#464646
51	ctx-lh-transversetemporal	#9696c8
52	ctx-lh-insula	#ffc020
53	ctx-rh-bankssts	#196428
54	ctx-rh-caudalanteriorcingulate	#7d64a0
55	ctx-rh-caudalmiddlefrontal	#641900
56	ctx-rh-cuneus	#dc1464
57	ctx-rh-entorhinal	#dc140a
58	ctx-rh-fusiform	#b4dc8c
59	ctx-rh-inferiorparietal	#dc3cdc
60	ctx-rh-inferiortemporal	#b42878
61	ctx-rh-isthmuscingulate	#8c148c
62	ctx-rh-lateraloccipital	#141e8c
63	ctx-rh-lateralorbitofrontal	#234b32
64	ctx-rh-lingual	#e18c8c
65	ctx-rh-medialorbitofrontal	#c8234b
66	ctx-rh-middletemporal	#a06432
67	ctx-rh-parahippocampal	#14dc3c
68	ctx-rh-paracentral	#3cdc3c
69	ctx-rh-parsopercularis	#dcb48c
70	ctx-rh-parsorbitalis	#146432
71	ctx-rh-parstriangularis	#dc3c14
72	ctx-rh-pericalcarine	#78643c
73	ctx-rh-postcentral	#dc1414
74	ctx-rh-posteriorcingulate	#dcb4dc
75	ctx-rh-precentral	#3c14dc
76	ctx-rh-precuneus	#a08cb4
77	ctx-rh-rostralanteriorcingulate	#50148c
78	ctx-rh-rostralmiddlefrontal	#4b327d
79	ctx-rh-superiorfrontal	#14dca0
80	ctx-rh-superiorparietal	#14b48c
81	ctx-rh-superiortemporal	#8cdcdc
82	ctx-rh-supramarginal	#50a014
83	ctx-rh-frontalpole	#640064
84	ctx-rh-temporalpole	#464646
85	ctx-rh-transversetemporal	#9696c8
86	ctx-rh-insula	#ffc020
