index	name	color
130	ctx_rh_G_front_inf-Orbital	#8c3c3c
131	ctx_rh_G_front_inf-Triangul	#b4dc8c
132	ctx_rh_G_front_middle	#8c64b4
133	ctx_rh_G_front_sup	#b4148c
134	ctx_rh_G_Ins_lg_and_S_cent_ins	#170a0a
135	ctx_rh_G_insular_short	#e18c8c
136	ctx_rh_G_occipital_middle	#b43cb4
137	ctx_rh_G_occipital_sup	#14dc3c
138	ctx_rh_G_oc-temp_lat-fusifor	#3c148c
139	ctx_rh_G_oc-temp_med-Lingual	#dcb48c
140	ctx_rh_G_oc-temp_med-Parahip	#416414
141	ctx_rh_G_orbital	#dc3c14
142	ctx_rh_G_pariet_inf-Angular	#143cdc
143	ctx_rh_G_pariet_inf-Supramar	#64643c
144	ctx_rh_G_parietal_sup	#dcb4dc
145	ctx_rh_G_postcentral	#14b48c
146	ctx_rh_G_precentral	#3c8cb4
147	ctx_rh_G_precuneus	#19148c
148	ctx_rh_G_rectus	#143c64
149	ctx_rh_G_subcallosal	#3cdc14
150	ctx_rh_G_temp_sup-G_T_transv	#3c3cdc
151	ctx_rh_G_temp_sup-Lateral	#dc3cdc
152	ctx_rh_G_temp_sup-Plan_polar	#41dc3c
153	ctx_rh_G_temp_sup-Plan_tempo	#198c14
154	ctx_rh_G_temporal_inf	#dcdc64
155	ctx_rh_G_temporal_middle	#b43c3c
156	ctx_rh_Lat_Fis-ant-Horizont	#3d14dc
157	ctx_rh_Lat_Fis-ant-Vertical	#3d143c
158	ctx_rh_Lat_Fis-post	#3d3c64
159	ctx_rh_Pole_occipital	#8c143c
160	ctx_rh_Pole_temporal	#dcb414
161	ctx_rh_S_calcarine	#3fb4b4
162	ctx_rh_S_central	#dd140a
163	ctx_rh_S_cingul-Marginalis	#dd1464
164	ctx_rh_S_circular_insula_ant	#dd3c8c
165	ctx_rh_S_circular_insula_inf	#dd14dc
166	ctx_rh_S_circular_insula_sup	#3ddcdc
167	ctx_rh_S_collat_transv_ant	#64c8c8
168	ctx_rh_S_collat_transv_post	#0ac8c8
169	ctx_rh_S_front_inf	#dddc14
170	ctx_rh_S_front_middle	#8d1464
171	ctx_rh_S_front_sup	#3ddc64
172	ctx_rh_S_interm_prim-Jensen	#8d3c14
173	ctx_rh_S_intrapariet_and_P_trans	#8f14dc
174	ctx_rh_S_oc_middle_and_Lunatus	#653cdc
175	ctx_rh_S_oc_sup_and_transversal	#15148c
176	ctx_rh_S_occipital_ant	#3d14b4
177	ctx_rh_S_oc-temp_lat	#dd8c14
178	ctx_rh_S_oc-temp_med_and_Lingual	#8d64dc
179	ctx_rh_S_orbital_lateral	#dd6414
180	ctx_rh_S_orbital_med-olfact	#b5c814
181	ctx_rh_S_orbital-H_Shaped	#651414
182	ctx_rh_S_parieto_occipital	#6564b4
183	ctx_rh_S_pericallosal	#b5dc14
184	ctx_rh_S_postcentral	#158cc8
185	ctx_rh_S_precentral-inf-part	#1514f0
186	ctx_rh_S_precentral-sup-part	#1514c8
187	ctx_rh_S_suborbital	#15143c
188	ctx_rh_S_subparietal	#653c3c
189	ctx_rh_S_temporal_inf	#15b4b4
190	ctx_rh_S_temporal_sup	#dfdc3c
191	ctx_rh_S_temporal_transverse	#dd3c3c
