index	name	voxel_count	x	y	z
136	CC200_136	247	-14.0	-66.3	55.9
137	CC200_137	237	40.7	-11.3	-3.9
138	CC200_138	314	22.5	-69.6	-11.3
139	CC200_139	202	10.7	63.0	10.0
140	CC200_140	201	55.1	-3.6	-25.4
141	CC200_141	214	-49.2	22.9	9.3
142	CC200_142	187	17.8	-89.5	22.7
143	CC200_143	252	53.5	-61.8	1.0
144	CC200_144	174	52.1	28.0	4.9
145	CC200_145	176	-31.9	-21.1	-18.8
146	CC200_146	230	-56.0	-10.9	5.6
147	CC200_147	213	-7.6	-74.8	41.1
148	CC200_148	172	1.7	-4.4	5.3
149	CC200_149	261	-0.2	31.1	45.5
150	CC200_150	207	-46.1	-72.1	12.1
151	CC200_151	196	-44.0	26.5	26.6
152	CC200_152	369	1.7	-56.9	-12.7
153	CC200_153	204	58.4	-7.8	-7.8
154	CC200_154	193	-51.2	-14.1	40.4
155	CC200_155	262	21.3	-11.9	-16.4
156	CC200_156	234	-33.9	-53.8	49.5
157	CC200_157	224	54.2	-11.9	39.3
158	CC200_158	236	-21.1	-91.8	-12.1
159	CC200_159	235	-35.8	-78.1	-14.9
160	CC200_160	157	0.1	20.4	-8.0
161	CC200_161	215	10.6	1.3	65.9
162	CC200_162	229	-9.2	-44.0	-24.1
163	CC200_163	266	10.3	-63.5	56.2
164	CC200_164	248	51.9	21.0	21.1
165	CC200_165	167	-54.1	7.2	18.2
166	CC200_166	252	44.9	-65.5	39.3
167	CC200_167	212	-25.3	52.0	22.9
168	CC200_168	203	32.9	44.6	28.1
169	CC200_169	119	-40.9	48.7	-3.4
170	CC200_170	222	33.3	-78.1	31.1
171	CC200_171	220	-42.5	-38.0	47.8
172	CC200_172	254	28.1	-49.1	-13.0
173	CC200_173	182	-8.6	19.9	60.4
174	CC200_174	350	-0.7	-55.1	38.3
175	CC200_175	190	30.8	-87.5	-10.9
176	CC200_176	219	1.1	-63.2	-33.4
177	CC200_177	277	-14.3	-74.2	-10.1
178	CC200_178	251	27.2	0.8	-0.1
179	CC200_179	258	-13.3	-52.9	-0.7
180	CC200_180	224	56.0	-29.6	43.9
181	CC200_181	136	45.7	13.3	-22.7
182	CC200_182	220	-8.1	0.5	65.9
183	CC200_183	164	-27.8	56.9	4.7
184	CC200_184	206	-46.7	5.0	2.8
185	CC200_185	222	44.5	-24.8	16.1
186	CC200_186	198	12.1	43.1	45.4
187	CC200_187	198	13.5	21.7	59.8
188	CC200_188	192	-18.6	-52.6	65.2
189	CC200_189	252	-27.6	-58.3	-13.6
190	CC200_190	234	16.0	-34.5	-21.4
191	CC200_191	210	-21.3	30.0	47.3
192	CC200_192	245	-0.7	-77.8	-23.2
193	CC200_193	145	15.0	56.3	29.4
194	CC200_194	199	1.0	-30.8	-17.5
195	CC200_195	249	9.0	-86.9	-12.3
196	CC200_196	189	-46.4	13.8	-11.2
197	CC200_197	125	-3.9	-53.1	57.4
198	CC200_198	157	30.8	-1.4	-36.2
199	CC200_199	173	-15.0	-30.8	-18.3
200	CC200_200	211	-41.9	-31.5	15.2
