index	name	voxel_count	x	y	z
139	CC400_142	120	7	62	10.2
140	CC400_143	68	42.7	7.4	-40.9
141	CC400_144	111	5.6	-66.2	-33.6
142	CC400_145	128	-25.5	-12.8	65.2
143	CC400_146	130	27.6	-47.1	-10
144	CC400_147	79	25.2	-15.8	66.5
145	CC400_148	105	-36.6	9.1	7.1
146	CC400_149	113	0.7	41.5	-15.5
147	CC400_150	108	14.5	19.1	61.4
148	CC400_151	91	16	-93.5	16.9
149	CC400_152	95	5.9	-25.8	-33.3
150	CC400_153	114	34.5	29.5	42.1
151	CC400_154	121	-21.1	33.9	44.9
152	CC400_155	99	63.3	-41.5	-9.3
153	CC400_156	94	-4.9	14	42.2
154	CC400_157	122	-62.6	-25.1	2.8
155	CC400_158	125	-6.2	46.1	14.9
156	CC400_159	110	46.6	-4.2	51.1
157	CC400_160	93	-35.3	52.1	8.3
158	CC400_161	104	-38.4	-15.3	15.6
159	CC400_162	120	42.6	2	6.7
160	CC400_163	170	11.6	-76.7	8.5
161	CC400_164	152	-42.2	-65.6	44.6
162	CC400_165	114	60.6	0.7	16.5
163	CC400_166	61	39.7	-15.7	-24
164	CC400_167	86	-21	6.2	64.1
165	CC400_168	100	-12.6	17	-6
166	CC400_169	132	43.5	-76	-10
167	CC400_170	108	13.1	13.7	-7.8
168	CC400_171	154	-8.4	-37.6	70.7
169	CC400_172	84	39.4	54.8	-5.4
170	CC400_173	127	-43.1	-75.9	-9
171	CC400_174	108	21.1	-4	66.4
172	CC400_175	142	-30	-56.2	-28.9
173	CC400_176	168	-7	-95.3	1.3
174	CC400_177	117	-7.9	-53.6	7.1
175	CC400_178	121	-6.5	44.6	45
176	CC400_179	95	41.4	-48	-33.4
177	CC400_180	130	11.1	-49.5	4.6
178	CC400_181	146	-26.3	-60.5	57.1
179	CC400_182	84	-30.4	1.8	-39
180	CC400_183	116	28.8	-87	22.8
181	CC400_184	114	-1.1	19.2	28.6
182	CC400_185	91	1.3	-19	10.1
183	CC400_186	118	-40.5	13.9	46.7
184	CC400_187	119	-42.1	-14.2	56
185	CC400_188	101	-27.6	-40.2	-17.6
186	CC400_189	112	-46.8	-67.4	30.2
187	CC400_190	98	20.6	64.3	9.9
188	CC400_191	90	52.9	9.5	20.9
189	CC400_192	107	45.8	43.7	3.6
190	CC400_193	145	-2.3	-63.7	35.5
191	CC400_194	118	51.2	-23	53.1
192	CC400_195	136	15.2	-56.7	-20.8
193	CC400_196	98	-0	-6.4	-10.3
194	CC400_197	91	-52.5	-38.7	2.8
195	CC400_198	143	-42.9	37.9	17.4
196	CC400_199	126	58	-22.9	41.1
197	CC400_200	141	8.5	-39.3	45
198	CC400_201	69	28	19.4	-17.7
199	CC400_202	86	-35.9	53.6	-6.2
200	CC400_203	86	-33.3	-28.4	-17.7
201	CC400_204	108	-22.9	-83.4	-30.4
202	CC400_205	88	50.7	11.5	-20.1
203	CC400_206	103	-56.8	-40.3	37.2
204	CC400_207	128	50.4	-55.2	46.1
205	CC400_208	91	21.7	-37.4	1.7
